Property Type,Bed,Bath,Area,Location,Price,,,,,,,,,,,
Apartment,3,3,1450,Sector 11,"9,500,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 12,"9,500,000",,,,,,,,,,,
Apartment,3,3,1530,Sector 11,"9,500,000",,,,,,,,,,,
Apartment,3,3,1320,Sector 9,"9,504,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 11,"9,600,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 12,"9,600,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 10,"9,610,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 12," 9,700,000",,,,,,,,,,,
Apartment,3,3,1280,Sector 11," 9,700,000",,,,,,,,,,,
Apartment,3,3,1524,Sector 10," 9,800,000",,,,,,,,,,,
Apartment,3,3,1518,Sector 10," 9,800,000",,,,,,,,,,,
Apartment,3,3,1762,Sector 10," 9,800,000",,,,,,,,,,,
Apartment,3,3,1900,Sector 12," 9,800,000",,,,,,,,,,,
Apartment,3,3,1384,Sector 11," 9,800,000",,,,,,,,,,,
Apartment,3,3,1700,Sector 12," 9,850,000",,,,,,,,,,,
Apartment,3,3,1470,Sector 4," 10,000,000",,,,,,,,,,,
Apartment,3,3,1325,Sector 6," 10,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 12," 10,000,000",,,,,,,,,,,
Apartment,3,3,1690,Sector 4," 10,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 4," 10,000,000",,,,,,,,,,,
Apartment,3,4,1620,Sector 10," 10,000,000",,,,,,,,,,,
Apartment,3,3,1540,Sector 3," 10,000,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 4," 10,000,000",,,,,,,,,,,
Apartment,1,1,800,Sector 12," 10,000,000",,,,,,,,,,,
Apartment,3,3,1515,Sector 13," 10,000,000",,,,,,,,,,,
Apartment,3,4,1501,Sector 11," 10,000,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 11," 10,000,000",,,,,,,,,,,
Apartment,3,3,1820,Sector 10," 10,000,000",,,,,,,,,,,
Apartment,3,3,1535,Sector 11," 10,000,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 7," 10,000,000",,,,,,,,,,,
Apartment,3,4,2200,Sector 4," 10,000,000",,,,,,,,,,,
Apartment,3,3,1485,Sector 14," 10,000,000",,,,,,,,,,,
Apartment,3,3,1545,Sector 14," 10,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 11,"10,000,000",,,,,,,,,,,
Apartment,3,3,900,Sector 13," 10,000,000",,,,,,,,,,,
Apartment,3,3,1350,Sector 11," 10,000,000",,,,,,,,,,,
Apartment,4,4,1700,Sector 13," 10,000,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 14," 10,000,000",,,,,,,,,,,
Apartment,3,3,1707,Sector 13," 10,000,000",,,,,,,,,,,
Apartment,3,3,900,Sector 13," 10,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 1," 10,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 11," 10,000,000",,,,,,,,,,,
Apartment,3,3,1485,Sector 14," 10,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 13," 10,000,000",,,,,,,,,,,
Apartment,3,5,1850,Sector 14,"10,100,000",,,,,,,,,,,
Apartment,3,3,1395,Sector 10," 10,500,000",,,,,,,,,,,
Apartment,4,4,1900,Sector 10," 10,500,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 11," 10,500,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 12," 10,500,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 11," 10,500,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 9," 10,500,000",,,,,,,,,,,
Apartment,3,3,1335,Sector 10," 10,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 5,"10,600,000",,,,,,,,,,,
Apartment,4,3,1900,Sector 12," 10,800,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 11," 11,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 7," 11,000,000",,,,,,,,,,,
Apartment,3,4,1567,Sector 6," 11,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 12," 11,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 12," 11,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 10," 11,000,000",,,,,,,,,,,
